"hunt_code","species","hunt_name","hunt_type","weapon","sex_type","permits_total","hunters","harvest","percent_success","avg_days","satisfaction","year","prediction_year","source_file"
"EA1167","Elk","","","","","10","1.9","8.0","14.0","80.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1168","Elk","Spring Creek/Dodge","CWMU Antlerless","Any Legal Weapon","Female Only","20","19.0","12.0","63.2","3.7","3.8","2025","2026","harvest_2025.csv"
"EA1168","Elk","","","","","17","3.8","13.0","2.0","80.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1170","Elk","","","","","10","1.7","10.0","14.0","100.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1170","Elk","Strawberry Ridge","CWMU Antlerless","Any Legal Weapon","Female Only","10","10.0","9.0","90.0","2.0","4.6","2025","2026","harvest_2025.csv"
"EA1171","Elk","","","","","10","4.9","8.0","17.0","75.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1171","Elk","Summit Point","CWMU Antlerless","Any Legal Weapon","Female Only","10","9.0","6.0","66.7","3.8","4.3","2025","2026","harvest_2025.csv"
"EA1172","Elk","","","","","17","2.1","16.0","6.0","93.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1172","Elk","Three C","CWMU Antlerless","Any Legal Weapon","Female Only","14","13.0","8.0","61.5","11.5","3.7","2025","2026","harvest_2025.csv"
"EA1174","Elk","","","","","53","1.6","40.0","17.0","76.5","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1174","Elk","Two Bear","CWMU Antlerless","Any Legal Weapon","Female Only","58","56.0","40.0","71.4","1.7","4.2","2025","2026","harvest_2025.csv"
"EA1175","Elk","Wallsburg","CWMU Antlerless","Any Legal Weapon","Female Only","10","7.0","2.0","28.6","2.3","3.4","2025","2026","harvest_2025.csv"
"EA1175","Elk","","","","","9","2.6","0.0","6.0","0.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1177","Elk","","","","","8","4.3","4.0","95.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1177","Elk","Woodruff Creek South","CWMU Antlerless","Any Legal Weapon","Female Only","8","8.0","3.0","37.5","1.9","5.0","2025","2026","harvest_2025.csv"
"EA1180","Elk","La Sal","Conservation","Any Legal Weapon","Female Only","2","2.0","2.0","100.0","1.0","3.0","2025","2026","harvest_2025.csv"
"EA1187","Elk","","","","","12","8.7","1.0","30.0","8.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1187","Elk","Paunsaugunt, Hatch Bench","Antlerless","Any Legal Weapon","Female Only","15","12.0","1.0","8.3","8.2","1.9","2025","2026","harvest_2025.csv"
"EA1189","Elk","Wasatch Mtns, West-Central","Antlerless","Muzzleloader","Female Only","423","354.0","49.0","13.8","4.0","3.1","2025","2026","harvest_2025.csv"
"EA1192","Elk","Pahvant Ensign","CWMU Antlerless","Any Legal Weapon","Female Only","6","6.0","1.0","16.7","2.0","2.4","2025","2026","harvest_2025.csv"
"EA1193","Elk","","","","","14","4.7","6.0","2.0","46.2","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1193","Elk","Cache, Rich","Antlerless","Any Legal Weapon","Female Only","20","20.0","12.0","60.0","4.1","3.4","2025","2026","harvest_2025.csv"
"EA1196","Elk","North Slope, Summit","Antlerless","Any Legal Weapon","Female Only","75","73.0","18.0","24.7","4.2","3.4","2025","2026","harvest_2025.csv"
"EA1198","Elk","Bear Springs","CWMU Antlerless","Any Legal Weapon","Female Only","2","2.0","2.0","100.0","2.0","5.0","2025","2026","harvest_2025.csv"
"EA1200","Elk","Double R Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","10","10.0","10.0","100.0","2.1","5.0","2025","2026","harvest_2025.csv"
"EA1200","Elk","","","","","8","2.3","6.0","4.0","75.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1201","Elk","Mountain Sky Ranch","CWMU Antlerless","Any Legal Weapon","Female Only","10","10.0","9.0","90.0","3.2","4.5","2025","2026","harvest_2025.csv"
"EA1203","Elk","Box Elder, Pilot Mtn","Antlerless","Any Legal Weapon","Female Only","5","5.0","2.0","40.0","3.2","2.6","2025","2026","harvest_2025.csv"
"EA1203","Elk","","","","","5","4.5","3.0","1.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1204","Elk","Box Elder, Pilot Mtn","Antlerless","Any Legal Weapon","Female Only","5","5.0","2.0","40.0","1.8","4.0","2025","2026","harvest_2025.csv"
"EA1204","Elk","","","","","5","3.2","0.0","2.0","0.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1206","Elk","Cache, Richmond Hyde Park","Antlerless","Any Legal Weapon","Female Only","10","8.0","2.0","25.0","6.2","4.2","2025","2026","harvest_2025.csv"
"EA1206","Elk","","","","","9","7.5","4.0","6.0","50.0","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1207","Elk","Nebo, Moroni Hills","Antlerless","Any Legal Weapon","Female Only","8","8.0","0.0","0.0","4.7","2.1","2025","2026","harvest_2025.csv"
"EA1208","Elk","Nebo","Antlerless","Any Legal Weapon","Female Only","271","231.0","106.0","45.9","6.5","3.3","2025","2026","harvest_2025.csv"
"EA1209","Elk","Fillmore, Oak Creek LE","Antlerless","Any Legal Weapon","Female Only","49","43.0","11.0","25.6","14.5","2.5","2025","2026","harvest_2025.csv"
"EA1209","Elk","","","","","44","9.4","15.0","21.0","34.3","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1217","Elk","","","","","129","4.3","26.0","17.0","20.5","","2024","2025","harvest-metrics-2024-bg-report.csv"
"EA1217","Elk","Wasatch Mtns, Avintaquin","Antlerless","Any Legal Weapon","Female Only","148","131.0","34.0","26.0","4.9","3.2","2025","2026","harvest_2025.csv"
"EA1220","Elk","Manti","Antlerless","Any Legal Weapon","Female Only","2","0.0","","","","","2025","2026","harvest_2025.csv"
