"hunt_code","hunt_name","species","weapon","hunt_type","matched_boundary_name","matched_boundary_id","match_type"
"MA1010","Deseret CWMU","Moose","Any Legal Weapon","CWMU","Deseret","568","exact_norm_name"
"MB6202","Causey Spring CWMU","Moose","Any Legal Weapon","CWMU","Causey Spring","560","exact_norm_name"
"MB6206","Deseret CWMU","Moose","Any Legal Weapon","CWMU","Deseret","568","exact_norm_name"
"MB6208","East Fork Chalk Creek CWMU","Moose","Any Legal Weapon","CWMU","East Fork Chalk Creek","520","exact_norm_name"
"MB6211","Grass Valley/Clark Canyon CWMU","Moose","Any Legal Weapon","CWMU","Grass Valley/Clark Canyon","525","exact_norm_name"
"MB6219","Skull Crack CWMU","Moose","Any Legal Weapon","CWMU","Skull Crack","578","exact_norm_name"
"MB6222","Strawberry Ridge CWMU","Moose","Any Legal Weapon","CWMU","Strawberry Ridge","562","exact_norm_name"
"MB6251","Hardscrabble CWMU","Moose","Any Legal Weapon","CWMU","Hardscrabble","577","exact_norm_name"
"MB6256","Woodruff Creek South CWMU","Moose","Any Legal Weapon","CWMU","Woodruff Creek South","571","exact_norm_name"
"MB6258","Jacob's Creek CWMU","Moose","Any Legal Weapon","CWMU","Jacob's Creek","580","exact_norm_name"
"MB6262","Junction Valley CWMU","Moose","Any Legal Weapon","CWMU","Junction Valley","589","exact_norm_name"
"PB5300","Antelope Creek CWMU","Pronghorn","Any Legal Weapon","CWMU","Antelope Creek","581","exact_norm_name"
"PB5302","Deseret CWMU","Pronghorn","Any Legal Weapon","CWMU","Deseret","568","exact_norm_name"
"PB5305","Park Valley CWMU","Pronghorn","Any Legal Weapon","CWMU","Park Valley","603","exact_norm_name"
"PB5306","Rabbit Creek CWMU","Pronghorn","Any Legal Weapon","CWMU","Rabbit Creek","590","exact_norm_name"
"PB5309","Skull Valley South CWMU","Pronghorn","Any Legal Weapon","CWMU","Skull Valley South","585","exact_norm_name"
"PB5311","The Rose of Snowville CWMU","Pronghorn","Any Legal Weapon","CWMU","The Rose of Snowville","509","exact_norm_name"
"PB5312","TL Bar Ranch CWMU","Pronghorn","Any Legal Weapon","CWMU","TL Bar Ranch","721","exact_norm_name"
"PB5314","Westlake CWMU","Pronghorn","Any Legal Weapon","CWMU","Westlake","558","exact_norm_name"
"PB5315","Zane CWMU","Pronghorn","Any Legal Weapon","CWMU","Zane","537","exact_norm_name"
"PB5325","Allen Ranch CWMU","Pronghorn","Any Legal Weapon","CWMU","Allen Ranch","557","exact_norm_name"
"PB5326","Cedar Springs CWMU","Pronghorn","Any Legal Weapon","CWMU","Cedar Springs","830","exact_norm_name"
"PB5327","Cottonwood Ridge CWMU","Pronghorn","Any Legal Weapon","CWMU","Cottonwood Ridge","824","exact_norm_name"
"PB5328","Pahvant Ensign CWMU","Pronghorn","Any Legal Weapon","CWMU","Pahvant Ensign","826","exact_norm_name"
"PB5329","Snowville Flat CWMU","Pronghorn","Any Legal Weapon","CWMU","Snowville Flat","829","exact_norm_name"
"PB5330","George Creek CWMU","Pronghorn","Any Legal Weapon","CWMU","George Creek","806","exact_norm_name"
"PB5337","Heist CWMU","Pronghorn","Any Legal Weapon","CWMU","Heist","201","exact_norm_name"
"PB5338","Castle Valley Outdoors CWMU","Pronghorn","Any Legal Weapon","CWMU","Castle Valley Outdoors","545","exact_norm_name"
