hunt_code,in_forecast,in_backtest,in_current_database,forecast_eligible_2026,exclusion_reason,hunt_type,species,hunt_name,permits_2026_res,permits_2026_nr,permits_2026_total
DB0001,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southeastern Navajo Buck Deer,,,
DB0002,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southeastern Navajo Buck Deer,,,
DB0003,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southeastern Navajo Buck Deer,,,
DB0004,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Navajo Buck Deer,,,
DB0005,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Navajo Buck Deer,,,
DB0006,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Navajo Buck Deer,,,
DB0007,False,True,True,False,not_OIL_LE_PLE,Statewide,Deer,Buck Deer - Statewide Permit,,,1
DB0008,False,True,True,False,not_OIL_LE_PLE,Extended Archery,Deer,Extended Archery Deer,,,2000
DB0009,False,True,True,False,missing_forecast_quota,Premium Limited Entry,Deer,Antelope Island - Conservation/Expo,,,
DB0010,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Paiute Buck Deer (early),,,
DB0011,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Paiute Buck Deer,,,
DB0012,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Paiute Buck Deer,,,
DB0013,False,True,True,False,not_OIL_LE_PLE,Tribal,Deer,Southern Paiute Buck Deer (late),,,
DB1000,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Henry Mtns,8,1,9
DB1001,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Paunsaugunt,26,3,29
DB1002,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Antelope Island,1,0,1
DB1003,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Henry Mtns,24,3,27
DB1004,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Paunsaugunt,75,8,83
DB1005,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Henry Mtns,8,1,9
DB1006,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Paunsaugunt,26,3,29
DB1007,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Henry Mtns,1,0,1
DB1008,True,True,True,True,included_forecast,Premium Limited Entry,Deer,Paunsaugunt,3,1,4
DB1009,False,True,True,False,not_OIL_LE_PLE,Management Buck Deer,Deer,Henry Mtns (Management Buck Deer),10,1,11
DB1010,True,True,True,False,included_forecast,Management Buck Deer,Deer,Paunsaugunt,30,3,33
DB1011,True,True,True,True,included_forecast,Limited Entry,Deer,Book Cliffs,55,6,61
DB1012,True,True,True,True,included_forecast,Limited Entry,Deer,"Fillmore, Oak Creek LE",12,1,13
DB1013,True,True,True,True,included_forecast,Limited Entry,Deer,Dolores Triangle,5,0,5
DB1014,True,True,True,True,included_forecast,Limited Entry,Deer,"San Juan, Elk Ridge",15,2,17
DB1015,True,True,True,True,included_forecast,Limited Entry,Deer,Diamond Mtn,22,2,24
DB1016,True,True,True,True,included_forecast,Limited Entry,Deer,"West Desert, Vernon",46,5,51
DB1017,True,True,True,True,included_forecast,Limited Entry,Deer,"Book Cliffs, North",137,15,152
DB1018,True,True,True,True,included_forecast,Limited Entry,Deer,"Book Cliffs, South",34,4,38
DB1019,True,True,True,True,included_forecast,Limited Entry,Deer,"Fillmore, Oak Creek LE",33,4,37
DB1020,True,True,True,True,included_forecast,Limited Entry,Deer,Dolores Triangle,13,2,15
DB1022,True,True,True,True,included_forecast,Limited Entry,Deer,"San Juan, Elk Ridge",42,5,47
DB1023,True,True,True,True,included_forecast,Limited Entry,Deer,Diamond Mtn,61,7,68
DB1024,True,True,True,True,included_forecast,Limited Entry,Deer,"West Desert, Vernon",130,14,144
DB1025,True,True,True,True,included_forecast,Limited Entry,Deer,Book Cliffs,55,6,61
DB1026,True,True,True,True,included_forecast,Limited Entry,Deer,"Cache, Crawford Mtn",8,1,9
DB1027,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DB1028,True,True,True,True,included_forecast,Limited Entry,Deer,Fillmore,11,1,12
DB1029,True,True,True,True,included_forecast,Limited Entry,Deer,"Fillmore, Oak Creek LE",12,1,13
DB1030,True,True,True,True,included_forecast,Limited Entry,Deer,Kamas,4,1,5
DB1031,True,True,True,True,included_forecast,Limited Entry,Deer,Dolores Triangle,5,0,5
DB1032,True,True,True,True,included_forecast,Limited Entry,Deer,Monroe,5,1,6
DB1033,True,True,True,True,included_forecast,Limited Entry,Deer,Nine Mile,6,1,7
DB1034,True,True,True,True,included_forecast,Limited Entry,Deer,Pine Valley,13,2,15
DB1036,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DB1037,True,True,True,True,included_forecast,Limited Entry,Deer,"San Juan, Elk Ridge",15,2,17
DB1038,True,True,True,True,included_forecast,Limited Entry,Deer,Diamond Mtn,22,2,24
DB1039,True,True,True,True,included_forecast,Limited Entry,Deer,Yellowstone,6,1,7
DB1040,True,True,True,True,included_forecast,Limited Entry,Deer,Southwest Desert,4,1,5
DB1041,True,True,True,True,included_forecast,Limited Entry,Deer,"Wasatch Mtns, East",30,3,33
DB1042,True,True,True,True,included_forecast,Limited Entry,Deer,"West Desert, Vernon",46,5,51
DB1043,True,True,True,True,included_forecast,Limited Entry,Deer,Zion,15,2,17
DB1044,True,True,True,True,included_forecast,Limited Entry,Deer,Book Cliffs,8,1,9
DB1045,True,True,True,True,included_forecast,Limited Entry,Deer,"Fillmore, Oak Creek LE",2,0,2
DB1046,True,True,True,True,included_forecast,Limited Entry,Deer,"San Juan, Elk Ridge",2,0,2
DB1047,True,True,True,True,included_forecast,Limited Entry,Deer,Diamond Mtn,4,0,4
DB1048,True,True,True,True,included_forecast,Limited Entry,Deer,"West Desert, Vernon",7,1,8
DB1053,True,True,True,True,included_forecast,Limited Entry,Deer,Mt Dutton,4,1,5
DB1054,True,True,True,True,included_forecast,Limited Entry,Deer,Ogden,13,1,14
DB1055,True,True,True,True,included_forecast,Limited Entry,Deer,Fishlake,6,1,7
DB1056,False,True,True,False,not_OIL_LE_PLE,Conservation,Deer,Book Cliffs (North & South),,,
DB1058,True,True,True,False,included_forecast,Cactus Buck,Deer,Paunsaugunt,18,2,20
DB1059,False,True,False,False,hunt_code_changed_or_not_crosswalked,,,,,,
DB1065,True,True,True,True,included_forecast,Limited Entry,Deer,North Slope,14,2,16
DB1073,True,True,True,False,included_forecast,Management Buck Deer,Deer,Paunsaugunt,10,1,11
DB1074,True,True,True,False,included_forecast,Management Buck Deer,Deer,Paunsaugunt,10,1,11
DB1075,False,True,True,False,not_OIL_LE_PLE,Conservation,Deer,Book Cliffs (North & South),,,
DB1076,False,True,True,False,not_OIL_LE_PLE,Conservation,Deer,Book Cliffs (North & South),,,
DB1077,True,True,True,True,included_forecast,Limited Entry,Deer,Box Elder,23,3,26
DB1078,True,True,True,True,included_forecast,Limited Entry,Deer,Cache,11,1,12
DB1079,True,True,True,True,included_forecast,Limited Entry,Deer,Manti/San Rafael,40,5,45
